name,author,number,mark,publish_time,extract
曾国藩家书,曾国藩,2541人点评,87.90%,2011年7月,清代中兴名臣曾国藩一生与家人的书信颇多，上自祖父母至父辈，中对诸弟，下及儿辈；小到家庭琐事，大到治国安邦均有所阐释。曾氏家书不仅是我们了解曾国藩、客观评价曾国藩的珍贵史料，同时他的修身、齐家、治国之理念仍为世人所推崇。阅读《曾国藩家书》，也是提高自身修养和精神境界的绝佳范本。 《曾国藩家书》收录了曾国藩一生当中具有代表性的家书123篇，按内容分为修身篇、劝学篇、治家篇、治国篇、为官篇、处世篇、养生篇。在今天看来，仍有很大的学习和借鉴价值。无论是学生还是家长，无论是在职打工人还是创业者，都能从中获得自己想要的宝藏。
成为雍正,李正,1339人点评,81.10%,2023年7月,新晋B站百大UP主【正直讲史-李正Str】动情力献！从隐忍的胤禛到帝国权力巅峰，全面解读“近世中国最具代表性的独裁君主”雍正！葛剑雄、马勇、张宏杰、押沙龙联袂推荐。他是今天故宫的当家IP，他的故事，是后世无数清宫剧、穿越剧的“大学”。 勤政、多疑、冷酷、重情……似乎我们对这个复杂的雍正并不陌生，再加上层出不穷的清宫剧，也成功把这位帝王塑造成了我们身边一位熟悉的老伙计。可他到底是怎样的？那段真实的历史又是怎样的？ 本书详细阐述了雍正这位“近世中国最具代表性的独裁君主”的成长之路，以及掩盖在“康乾盛世”背影下的雍正一朝的真实面貌。全书结合了大量的史料分析，系统梳理了相关的档案文献，以独特的观察视角，再现了清帝国拐点时期的历史群像。 特别是关于雍正本人，是结合对其他历史性人物的生动描绘所塑造而出。借外部视角、借他人之言，在轮廓清晰的雍正正颜之外，带来一份我们不曾留意过的雍正侧写。而与此同时，那个上承康熙、下启乾隆的雍正王朝，就这样款款而来。
春秋大义：中国传统语境下的皇权与学术,熊逸,544人点评,77.20%,2019年3月,《春秋》在中国古代长期被尊为政治哲学的至高圣典，并被认为是唯一由孔子亲手编撰的儒家经典。但《春秋》以微言大义暗藏褒贬，是非常费解的，尤其是经过历代经学家的解读变得越来越芜杂。那么《春秋》以及相关经典是如何在两千年专制社会中发挥实际作用，甚至呼风唤雨的？一贯被当作中国精神的春秋大义，到底是怎样的一种存在？熊逸从唐朝一桩谋杀案讲起，通过大量生动的历史案例，运用翔实考据和缜密逻辑，一层层揭示了上溯至春秋时代的中国经典文化，包括《春秋》“一经三传”、《论语》《老子》等，是如何在皇权政治下被扭曲成了权力的工具的。熊逸对数千年的史实和典籍信手拈来，并让帝王、圣贤、权贵、武将、文士等不同时代的人隔空对话，他也在其中嬉笑怒骂，行文充满真知灼见，文风轻松幽默。当读者沉浸在他的文字世界时，一根绵延两千多年的线索逐渐纤毫毕现。
从唐诗走进历史,宁欣,307人点评,90.80%,2023年4月,“渭城桥头酒新熟，金鞍白马谁家宿。”从狂放不羁的五陵年少，到神鬼不惧的市井恶少，京都少年随着社会的变动，长安城的兴衰，经历了怎样的沉浮？ “文章已满行人耳，一度思卿一怆然。”白居易所写诗歌多为讽喻时弊，为何他的辞世却能引起宣宗皇帝如此的悲伤？其背后，又反映了唐朝什么样的政治和社会氛围？   ………… 以诗为媒，简读唐史；感受历史的生动，看见唐朝的二十九个侧面。著名唐史学者宁欣，以多年授课经验为基础，从唐诗入手，以通俗易懂的语言，对唐朝的官制、科举、城市风貌、文化生活、交通运输、赋役制度，乃至社会结构变迁、民族交流融合等进行了深入浅出的讲述。
大地中国（北大教授韩茂莉的历史地理通识课）,韩茂莉,66人点评,71.40%,2023年4月,《大地中国》是北京大学教授韩茂莉讲给大家的历史地理通识，历史地理爱好者人手一册的必读之书！《大地中国》全书细分为二十六个专题，以时间为纵轴、地理空间为横轴，涵盖中国历史地理的核心问题。掌握这些知识点，才能理解诸多历史大事件的节点、走向和结果，把握上下五千年中国历史的大脉络。  “中国”一词从何而来？中华文明为什么诞生于中原大地？为什么说关中地区为秦统一天下奠定了地理基础？历史上，黄河下游源何发生多次重大改道？为什么山东山西之间没有山脉相隔，却以山命名？  历史与地理密不可分，历史决定思维的深度，地理决定视野的广度。《大地中国》是北京大学教授韩茂莉写给大家的历史地理通识，二十六个专题，贯通上下五千年，遍及南北东西，涵盖了中国历史地理的重要问题，是理解中国历史大脉络的一把钥匙。
大汉帝国全史（全5册）,上医治国,934人点评,76.00%,2023年7月,天涯煮酒论史总榜第一，连载期间破天涯千万点击量，继《明朝那些事儿》之后，又一部通俗说史大书！ 一部有趣有料又严谨的汉朝历史普及读物。巍巍大汉400年，影响后世2000年！为什么汉朝能划定此后2000年间中国政治与文化的疆界？促统一！抓经济！搞开放！重民生！搞科技！文景之治、丝绸之路、造纸术、《九章算术》和《史记》，数个第一！曾用名《巍巍大汉：英雄的时代》《大汉荣耀》豆瓣评分7.9！读者评价：“语言生动有趣”“对历史小白非常友好”“通俗易懂，让我完整了解汉史”。 本书是一部汉朝历史普及读物，一共5册，分别为：1、亡秦灭楚，2、文景与汉武，3、昭宣中兴与王莽篡汉，4、东汉开国与光武中兴，5、东汉与蜀汉。从“刘邦起于草莽”讲起，一直讲到“诸葛亮辅佐蜀汉败落”为止，透过皇帝、权臣、将领、文人、后妃、外敌等超过200多个人物和发生在他们身上的上百段故事，看懂中国第一个横跨亚欧大帝国从强盛走向袁落的470年。
大明王朝1566（全集）,刘和平,3.8万人点评,91.50%,2016年7月,热剧《大明王朝1566》原著小说 豆瓣9.5分高评好剧《大明王朝1566》同名小说，台湾朝野必读，新加坡内阁政治参考书。此书为《雍正王朝》编剧、《北平无战事》作者刘和平成名之作。全书以扳倒大老虎严嵩为线索，讲述大明王朝一场盘根错节、惊心动魄的反腐大戏。揭开中国历史上最另类的皇帝嘉靖数十年不上朝的执政之谜；揭示中国历史上清官海瑞以“智忠”代“愚忠”的为官之道；揭露清修明史列为奸臣之最首辅严嵩权极而衰的真相；揭破明朝特殊的政治机构宦官集团最深层的秘密。时隔十年，该剧于2017年2月13日在优酷上线重播。
大秦帝国（套装版）,孙皓晖,1.7万人点评,89.50%,2016年10月,央视热播剧《大秦帝国》原著小说 央视热播剧《大秦赋》同题材历史小说，十几年来最具影响力的历史小说，让当代中国人为之振奋并受益的战国版“大国崛起”。全书共分《黑色裂变》《国命纵横》《金戈铁马》《阳谋春秋》《铁血文明》《帝国烽烟》六部十七册，外加一册《大秦帝国进阶指南》，将战国后期齐、楚、燕、秦、韩、赵、魏七国群雄并起的历史铺展开来，描绘了近200年的战国风云与帝国生灭。在礼崩乐坏，群雄逐鹿的战国末年，面临亡国之祸的秦国于列强环伺之下，崛起于铁血竞争的群雄列强之林。从秦孝公开始，筚路蓝缕、彻底变革、崇尚法制、统一政令，历一百六十余年六代领袖坚定不移地努力追求，才完成了一场伟大的帝国革命，扫六合而一统天下，建立起一个强大统一的帝国。这部鸿篇巨著还原了巨大的历史落差与戏剧性的帝国命运，再现了一个国家一步步实现自己梦想的悲壮历程。书中每一行每一页都充满着智慧方略、阳谋政治的风骨，奋发惕励、强势生存的精神，充满着来自中国原生文明时代的英雄风骨与本色灵魂。
大唐兴亡三百年（全集）,王觉仁,1.3万人点评,80.40%,2018年10月,读一页就上瘾的大唐三百年历史 畅销书《血腥的盛唐》全新改版！读一页就上瘾！比《唐书》有趣，比《资治通鉴》通俗，比《隋唐演义》靠谱，一部令人上瘾的300年大唐全史。知名读书节目《罗辑思维》推荐书目！了解唐朝历史，读这套就够了！《血腥的盛唐》《王阳明心学》畅销历史作家王觉仁唐史经典之作，中国断代史畅销读本！ 翻开本书，领略让你全程上瘾的300年大唐全史。
大屠杀：一部新的历史,劳伦斯·里斯,62人点评,86.40%,2020年4月,劳伦斯·里斯在二十五年的时间里采访了纳粹德国和大屠杀的幸存者和作恶者，并将亲历者的证言与新近的学术研究成果有机地整合进这段影响广泛的历史之中，揭示了这一人类历史上恶名昭著的犯罪是如何进行的。里斯认为，对犹太人的仇恨无疑是纳粹思想的核心，但如果不把纳粹也计划屠杀数百万非犹太人考虑进去，我们就不能充分理解大屠杀的本质。里斯指出，其实并不存在一个大屠杀的总体蓝图，它是一系列恐怖犯罪的不断升级。毋庸置疑，希特勒要为所发生的一切承担主要的罪责，但里斯也提醒我们，罪孽带有普遍性，而其后果也具有持续性，这也是“令人不安和闪烁其词的核心问题”。
大学·中庸（中华国学经典精粹）,曾参 子思,815人点评,87.40%,2015年7月,《大学》将人的修身作为核心基础强调齐家、治国、平天下，而治国平天下就应该以德为本。《中庸》是儒家学说的重要典籍，儒学，特别是理学，许多概念、命题出自《中庸》，《中庸》对中华文明的形成有着深远的影响。本书将《大学》《中庸》整合编撰成了一本书《大学·中庸》，里面包含了很多先圣哲人的价值反思和体验，由此也向当代读者展示了他们卓越的思想表述才能，有着很好的阅读价值和收藏价值。本书内容有四部分组成：原文、注释、译文、读解。注释简要明了，读解到位，对读者有很好的启迪作用。
大医 (全集）破晓篇+日出篇,马伯庸,1635人点评,94.10%,2023年6月,马伯庸全新长篇历史小说，分为《大医·破晓篇》《大医·日出篇》两本，本书为全集。 挽亡图存、强国保种，这是医者在清末变局中的一声呐喊。 大医若史，以济世之仁心，见证大时代的百年波澜。 一个在日俄战争中死里逃生的东北少年、一个在伦敦公使馆里跑腿的广东少年、一个不肯安享富贵的上海少女——这三个出身、性格、际遇各不相同的年轻人，在一九一〇年这一个关键节点，同时踏入了中国红十字会总医院，开始了他们纠葛一生的医海生涯。 《大医·破晓篇》的故事，主要集中在1904至1911年的上海、关东、皖北和英国伦敦；《大医·日出篇》的故事，是从北洋军阀时代一直延展到抗日战争乃至解放战争。通过一群卷入20世纪上半叶动乱时局的医生，通过这些医务工作者的视角和主体性介入，去充满激情地回望近代中国最苦难、最艰辛的“大历史”，书写中国人民波澜壮阔而又震撼人心的抗争史
大医·破晓篇,马伯庸,6743人点评,92.90%,2022年9月,《大医·破晓篇》是马伯庸2022年全新长篇历史小说。 挽亡图存、强国保种，这是医者在清末变局中的一声呐喊。 大医若史，以济世之仁心，见证大时代的百年波澜。
地理的故事（英文版）,（美)亨德里克·威廉·房龙,30人点评,96.20%,2016年6月,《地理的故事》撰成于1932年，几个月内在美国即销售近14万册，一年间始终居“非虚构作品”销量之最。英国版首发13万8千册，另有德文、西班牙文、意大利文、匈牙利文、葡萄牙文、瑞典文等版本面世，销量无法统计，被视为人类出版史上之“奇迹”。1933年，此书被引进中国，当年就出了三种中文译本，此后《地理的故事》又不断被重译出版，还没有哪一部地理著作，拥有如此众多的中国读者……
滴天髓,刘伯温,266人点评,85.50%,2015年9月,本书为公版书，为不受著作权法限制的作家、艺术家及其它人士发布的作品，供广大读者阅读交流。汇聚授权电子版权。
读一页就上瘾的唐朝史,范西园,465人点评,77.60%,2023年3月,大唐开国：仿佛一部热血而壮阔的战记 有人为宏图伟业做好了一切准备，却意外地中道崩殂 有人借着历史潮流腾身而起，却被后浪拍死在了沙滩上 有人在乱世的激流中退隐田园，却不甘平凡想再次叱咤风云 …… 长安城外旌旗招展的娘子军，雀鼠谷中奏响的秦王破阵乐，虎牢关前万马冲锋的玄甲铁骑，白帝城下千帆竞发的大唐舟师……都是只属于大唐的雄壮旋律！ 初唐崛起：仿佛一段明艳而血腥的悲剧 荥阳城外，黄河岸边，荥阳太守李渊在禅院潜心礼佛。后去大海寺祈愿，此后戎马倥偬，世事变迁。夺嫡之争，玄武之变，高祖退禅，无数人因此改变人生轨迹。 玄武门之变给大唐留下一个深不见底，仿佛永远也无法愈合的伤疤。它提醒着每一代帝王，权力之争是多么残酷。每一代人都不想重蹈覆辙，但每一代却都有人重复着残酷而血腥的斗争。 他们能跳出玄武门的魔咒吗？且看这唐宫的盛宴！ 盛唐兴衰：仿佛一首绚烂而壮丽的诗篇 朱雀门外的天街上千车万马，人们摩肩接踵，喜笑颜开 千家万户似围棋局般布局，夜晚灯火点亮 上元佳节的夜晚，歌舞通宵达旦，灯火烟花汇成一片星星点点的海洋 开春的花朝时节，遍目所见都是红花绿柳 盛唐之下的长安城如此美好，百姓富足、安乐，国家强盛、广袤，一切风调雨顺，蒸蒸日上，只是这个时代所有的盛景，都将在我们眼前一一毁灭、崩塌…… 唐朝后期：仿佛一曲悠远而深长的歌谣    太平盛世终不过是一座空中楼阁，安史之乱把一切美好毁灭，盛世的浮华如泡沫一般散去。兵荒马乱中，又是谁亲眼目睹了盛世的辉煌，然后在哭泣中满面尘埃地成长着？ 昭昭有唐，天俾万国。 君临天下，万邦来朝，一代又一代的君臣不停地拼搏奋斗，想要再现昔日大唐的荣光，可每当基业搭起，却又转眼消逝。帝国的挽歌让人意难平，只能空留下一声叹息。
敦煌大历史,邢耀龙,1553人点评,93.80%,2022年12月,这是一部面向普通读者的敦煌历史文化通俗读物。这是一部敦煌史，也是半部中国史；这是从石窟发出的敦煌史，也是从敦煌出发的中国史。作者沿着时间脉络，讲述各个时期敦煌相关的重要人物和故事，同时融入了最新的学术进展。  敦煌，边地如何纳入帝国版图；敦煌，文化贸易中心如何形成；敦煌，何以成为超级文旅IP；敦煌，小人物的命运如何走向，大人物的野心如何施展；敦煌，人民的生活与信仰如何延续，帝国的伟业如何惨淡经营。  敦煌，本是帝国的边缘，却以独特的方式成为世界的中心。当我们把边缘的敦煌作为锚点来回溯往事，就能赫然发现一条截然不同的历史脉络。敦煌艺术，以震撼人心的雕塑、壁画吸引五湖四海的游人；飞天、千手观音、九色鹿已成为中国文化最鲜明的名片，但当我们把这一切放在历史的进程中去，又该如何理解？敦煌学，作为20世纪以来最重要的学术潮流，早已改写了众多学科的研究进程，但是学术前沿的认知更新距离大众却相当遥远。现在，终于有一本书，可以用通俗的方式为我们讲述这一切。
二十四史：完本精校大全集（中华古籍国学宝典文库）,尹小林校注,174人点评,89.90%,2022年7月,本书由国学网创办者、首都师范大学电子文献研究所所长尹小林携汤一介、冯其庸、庞朴、陈来、白化文、李零、孙家洲、王立群、佐藤利行、方铭、邓小军等百位专家学者、教授历经二十余年编纂、点校、排版制作而成，涵盖（史记、汉书、后汉书、三国志、晋书、宋书、南齐书、梁书、陈书、魏书、北齐书、周书、南史、北史、隋书、旧唐书、新唐书、旧五代史、新五代史、宋史、辽史、金史、元史、明史）的合辑，记载了从黄帝到清末四千多年的史事、人物、经济、文化、政治、军事、教育、典章制度、天文、地理、灾异等等，是中华文化的重要组成部分，具有极高的文学价值和史料价值。在本套《二十四史》中，《史记》和《汉书》以民国百衲本为底本，其余史书则全部以武英殿本的《二十四史》为底本，各本在勘校过程中，都参考了其有关的善本，订正了武英殿本中的讹误，但其他部分尽可能保持了史籍的原汁原味，包括人名、地名中的异体字等都一般不改，古体字和通假字也一般不作修改，为读者再现史籍原貌。
改革开放口述史,欧阳淞 高永中,24人点评,79.20%,2014年1月,本书选择三十多年改革开放历程中的重大决策和重大事件，系统梳理、精心选编，以口述史的形式，让亲身经历和见证改革开放历史的老领导、老同志追忆细节，让见证者感悟得失，让思想者升华经验，目的是真实、生动、具体地再现历史，为改革开放史研究提供第一手资料，也为广大党员、干部、群众提供生动鲜活的新时期党史读本。本书由中央党史研究室主任欧阳淞作序，收录了万里、陈锦华、谷牧、龚育之、刘鸿儒、曾培炎、徐匡迪、龙新民等50余老领导、老同志的回忆录、口述历史，是研究这段历史的重要资料和宝贵财富。
改革开放口述史,欧阳淞 高永中,67人点评,89.60%,2018年11月,纪念改革开放四十周年 万里、曾培炎、陈锦华等改革开放重大决策亲历者真情讲述本书精选我国改革开放40年历程中具有代表性的重大决策和重大事件，通过对万里、陈锦华、谷牧、龚育之、刘鸿儒、曾培炎、徐匡迪、龙新民等约60位老领导、老同志进行访谈，以口述史的形式，展现改革开放40年中诸多重大决策出台的过程，全面回顾改革开放进程中重大事件的许多鲜为人知的细节。内容涉及审判“四人帮”台前幕后、真理标准问题讨论的前前后后、中美建交始末、邓小平南方谈话细节、独生子女政策的由来等。书中所有文章均为亲历者第一人称讲述，他们多为重大事件亲历者、决策者，并长期担任党和国家领导职位。书中既有对事实的回顾，也是亲历者心路历程的呈现，目的是真实、生动、具体地再现历史，为改革开放史研究提供第一手资料，也为广大党员、干部、群众提供生动鲜活的新时期党史读本。
古罗马帝国的辉煌,赵林,206人点评,91.40%,2023年7月,歌德曾说：“一个人如果看到了罗马，他就看到了一切。”作为古代世界中首屈一指的大帝国，罗马人曾将欧亚非的广大地区纳入疆域，罗马人开创的一系列政治制度、法律规范、管理模式以及公共工程等，至今仍影响着西方社会，成为现代西方文明永不衰竭的活水源头。 诸王传说、政体沿革、凯旋荣光、权力辉煌、英雄陨落，都将在这一部波澜壮阔的罗马帝国发展演变史中清晰呈现。让我们一起在历史、人文、哲学智慧中获得浸润，激荡心中的美德和恢宏理想，了解有温度的“永恒之城”罗马，了解当今的西方社会与世界格局。
光荣与梦想（全四册）,威廉·曼彻斯特,2324人点评,82.50%,2015年3月,王石、何怀宏、何帆、俞敏洪激荡推荐。这不是一本书，这是一个时代。自1974年问世以来，《光荣与梦想》一直为无数人念念不忘。这部伟大的作品巧妙地浓缩了美国从1932-1972年的40年丰富历史。著名通俗历史作家威廉曼彻斯特以数任美国总统的执政与竞选为明线，从让胡佛颜面尽失的“胡佛村”“胡佛车”等、罗斯福史无前例的四次当选，一路说尽杜鲁门、艾森豪威尔、肯尼迪，直至让尼克松下台的水门事件，同时不动声色地细致描画美国1932-1972年的40年社会发展历程，内容涵盖“补偿金大军”风潮、经济大萧条、人权运动、麦卡锡主义、种族隔离制度、两次世界大战、原子弹研发、空间竞赛到冷战、朝鲜战争、越南战争等。曼彻斯特将美国这40年间的政治、经济、军事、社会、艺术、科学、时尚、音乐、娱乐，甚至生活热点、妇女的服装潮流、口头语的变化、性观念的更迭全景式重现。曼彻斯特更将美国社会放在全球背景下描述，如此强烈的对比，勾起读者的强烈兴趣。
国宝来了,马菁菁,608人点评,86.80%,2020年12月,每一件国宝都饱含浓烈情感，它们只是上了些年纪，依然可爱。中国好书获奖作品《山山水水聊聊画画》系列作者、水墨艺术家马菁菁2020年全新作品，二十一件国宝，一部中国人的精神史。给大人看内行的门道，给孩子一流的人文启蒙。
韩非子（中华国学经典精粹）,韩非,828人点评,85.60%,2015年7月,《韩非子》是韩非的生平著作，是法家思想的集大成作品。是古代政治学方面的名著，与道家、儒家、墨家、阴阳家等学派的著作交相辉映。全书现存五十五篇、共计十余万字。按照内容划分，现存的文章可以划分为十组，分别从不同的角度阐发了韩非子的法家思想。本书精选了《韩非子》五十五篇中的经典篇目，按照题解、原文、注释、译文的格式对该著作进行了详细剖析，并且秉持“信、达、雅”的标准，对这部先秦时期的法家集大成之杰作进行了注解。
汉书（中华古籍国学宝典文库）,尹小林校注,62人点评,83.50%,2022年7月,《汉书》继司马迁撰写《史记》之后，班固撰写了《汉书》。新增加了《刑法志》、《五行志》、《地理志》、《艺文志》，《汉书》包括本纪十二篇，表八篇，字十篇，列传七十篇，共一百篇，后人划分为一百二十卷，它的记事始于汉高帝刘邦元年，终于王莽帝皇四年。
和珅：帝王心腹,李师江,614人点评,76.50%,2023年8月,一部写透权力运行法则的和珅全传！寄生于权力的人，在权力转换中瞬间覆灭！ 考场失意后和珅放弃科举，进宫侍卫，虽地位低下，却能亲近天子。 苦熬三年，和珅终于抓住了乾隆偶然间一句问话，以引经据典的机敏应答深获乾隆好感，得以时时陪侍皇帝左右。 此后和珅平步青云，不到三十岁便位极人臣。 摸透了乾隆心思的和珅又精于理财，办事能力极强，成了乾隆晚年离不开的人物，通过影响皇帝左右朝政，和珅入宫不到十年便已权倾天下富可敌国。 一辈子机关算尽一路往上爬的和珅，没有意识到潜藏在身边的危机也在不断积累，忘了为自己留下后路。 乾隆驾崩次日，和珅就猛然踏入了万劫不复的深渊。 表面上权势熏天，实际上危如累卵。 不断玩弄权术最终被权力吞噬，一部写透权力运行法则的和珅全传。 老帝王的心腹，就是新帝王的心腹大患！孤苦少年和珅，只因在人群中斗胆回了一句乾隆的话，赢得龙颜大悦，顺势攀援而上，以惊人的情商和手腕，成为乾隆晚年离不开的左右手，呼风唤雨二十年，个人财产数倍于国库总收入。表面上权势熏天的和珅，实际上危如累卵，不断玩弄权术最终一定会被权力吞噬！
