class,name,author,number,mark,publish_time,extract
哲学,金刚经（典藏）,佚名,1686人点评,95.80%,2020年11月,金刚经歌者。梁朝时傅大士之所作也。武帝初请志公讲经。志公对曰。自有傅大士善解讲之。帝问。此人今在何处。志公对曰。见在鱼行。于时即照大士入内。帝问。大士欲请大士讲金刚经。要何高坐。大士对曰。不用高坐。只须一具柏板。大士得板。即唱经歌四十九颂终而便去。志公问武帝曰。识此人不。帝言不识。志公告帝曰。此是弥勒菩萨分身。下来助帝杨化。武帝忽闻情大惊讶。深加珍仰因题此颂。于荆州寺四层阁上至今现在。夫金刚经者。圣教玄关深奥难测。诸佛莫不皆由此生。虽文疏精研浩汗难究。岂若慈颂显然目前。遂使修行者不动足而登金刚宝山。谛信者寂灭识而超于涅槃彼岸故书。其文广博无穷。凡四十九篇烈之。于后所谓惠日流空照如来之净土禅刀入手破生死之魔军。既人法双祛俱遣快哉。斯义何以加焉。有一智者不显姓名。资杨五首以申助也。其层阁既被焚烧。恐文隋堕。聊请人贤于此阁见本请垂楷定。
历史,筚路维艰：中国社会主义路径的五次选择,萧冬连,4846人点评,95.70%,2014年10月,本书以简明清晰的文字对当代中国的历史轨迹作了逻辑梳理。作者认为，从执政党的建国方略、发展模式和基本政策角度考察，中国社会主义的实践路径经历了从实行新民主主义开始，途经仿效苏联模式、追寻赶超之路、发动继续革命和实行改革开放的五次历史选择。改革开放是实现中华民族复兴之梦的正途大道。
文学,我与地坛（插图版）,史铁生,3757人点评,95.50%,2020年3月,当代文学大家史铁生的散文质朴通透，蕴含深刻的生命哲理与丰富的人生况味，被誉为中国文坛“最美的收获”；他的诗歌充满哲思与悲悯，想象奇特语言凝炼，具有独特的文学价值。这部散文诗歌集选取了《我与地坛》《记忆与印象》《秋天的怀念》《合欢树》《黄土地情歌》等经典作品。这些以作者亲身经历为题材创作的作品，优美的行文中饱含对生命、青春、爱人、亲友、故土的爱。其中抒情散文代表作《我与地坛》如一曲深沉的生命咏叹，情感深厚，哲理含蓄，语言隽永；《记忆与印象》则如一部悲欣交集的人间戏剧，主旨深刻，京味浓郁，动人心弦；思想随笔《好运设计》执着于叩问众生命运的谜题，抽丝剥笋，娓娓道来，睿智幽默……史铁生充满神奇魅力的文字，具有穿透时光与心灵的力量，并有一种对命运的诗意把握，让我们重新思考活着的意义。
哲学,资本论（纪念版）全三卷,马克思,178人点评,95.40%,2018年3月,《资本论》是马克思理论的集大成之作，也是一部划时代的巨著。它在马克思主义理论体系中，一直居于中心的位置。可以说，《资本论》始终代表着马克思主义理论的一座“高峰”；也正是在《资本论》中，马克思的唯物主义历史观得到了系统、成熟的展现。今天，《资本论》依然是矗立在人类文明发展史上的一座里程碑，它以其恢弘的气势、缜密的逻辑、科学的论断，照耀着当前时代前进的道路。2018年是具有特殊意义的一年：党的十九大宣告我们进入了一个新时代、站在了一个新的历史方位上。同时，2018年5月5日又是马克思诞辰200周年纪念日，它标志着马克思主义这一思潮，正以习近平新时代中国特色社会主义思想这一全新的形态，继续砥砺前行，带着中华民族伟大复兴的未来图景。正是在这一新形势下，我们在系统总结以往的编译经验、全面考察以往版本的基础上，吸收理论界的宝贵建议，隆重推出《资本论》纪念版。我们相信，此纪念版不仅能充分反映马克思主义经典著作在当前时代的新成果，而且其所体现出的马克思主义立场、观点和立场，尤其是对社会矛盾的深刻把握，对于中国特色社会主义已经进入新时代这一关键时期具有重大意义。
文学,一九八四（译文经典）,乔治·奥威尔,3052人点评,95.30%,2009年6月,《一九八四》（1949）是乔治·奥威尔的传世之作，堪称世界文坛最著名的反乌托邦、反极权的政治讽喻小说。他在小说中创造的“老大哥”、“双重思想”、“新话”等词汇都已收入权威的英语词典，甚至由他的姓衍生出“奥威尔式”（Orwellian）、“奥威尔主义”（Orwellism）这样的通用词汇，不断出现在报道国际新闻的记者笔下，足见其作品在英语国家影响之深远。“多一个人看奥威尔，就多了一份自由的保障，”有论家如是说。
哲学,1844年经济学—哲学手稿,马克思,26人点评,95.00%,2021年3月,《1844年经济学—哲学手稿》是马克思的一部未完成的独立著作。它代表着马克思主义的三个基本组成部分形成过程中的一个阶段。特别是把异化问题跟政治经济学的研究结合起来，是马克思思想发展上的一次飞跃。因此，尽管《1844年经济学—哲学手稿》不是一部完整的著作，它却是马克思的很好作品之一。马克思在《1844年经济学—哲学手稿》中所阐发的思想，不仅直接为《神圣家族》和《德意志意识形态》，而且也在某种意义上为《资本论》做了理论上的准备。
历史,长安的荔枝,马伯庸,16.2万人点评,95.00%,2022年10月,同名实体书新鲜上市，马伯庸历史短小说“见微”系列神作！ 大唐天宝十四年，长安城小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝保鲜期只有三天，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务。为了家人，李善德只得放手一搏…… 古装版社畜求生记，帝国夹缝中的小人物史诗。
文学,悲惨世界（全册）,雨果,2701人点评,94.80%,2015年7月,《悲惨世界》是雨果在流亡期间写的长篇小说，是他的代表作，也是世界文学宝库的珍品之一。《悲惨世界》通过冉阿让等人的悲惨遭遇以及冉阿让被卞福汝主教感化后一系列令人感动的事迹，深刻揭露和批判了19世纪法国封建专制社会的腐朽本质及其罪恶现象，对穷苦人民在封建重压下所遭受的剥削欺诈和残酷迫害表示了悲悯和同情。
哲学,西方哲学史讲演录,赵林,976人点评,94.70%,2021年12月,“哲学是活的生命。”“哲学史就是哲学。”遵循“历史与逻辑相一致”的原则，本书从古希腊哲学一直讲到黑格尔哲学，突出西方哲学思想发展的内在逻辑，通过揭示不同哲学家出现的历史顺序与哲学概念发展传承的关系，展现了哲学史就是哲学概念演变的生命历程，而不是堆积以往哲学家思想遗骸的荒冢。作为一部讲演录，本书在作者多年讲授的“西方哲学史”通识课程基础上整理而成，以通俗易懂的方式将晦涩的哲学概念娓娓道来，并省去了引经据典之繁，可谓哲学入门书首选。此次修订版特别增加“18世纪法国启蒙哲学”一讲，有助于我们更好地理解从英国经验论哲学和自然神论向德国古典哲学的过渡，弥补了初版之憾。
文学,罪与罚,陀思妥耶夫斯基,3452人点评,94.70%,2021年5月,《罪与罚》是俄国作家陀思妥耶夫斯基创作的长篇小说，也是其代表作。小说描写穷大学生拉斯柯尔尼科夫受无政府主义思想毒害，认为自己可以为所欲为。为生计所迫，他杀死放高利贷的老太婆阿辽娜和她的无辜妹妹丽扎韦达，制造了一起震惊全俄的凶杀案。经历了一场内心痛苦的忏悔后，他最终在基督徒索菲雅姑娘的规劝下，投案自首，被判流放西伯利亚。作品着重刻画主人公犯罪后的心理变化，揭示俄国下层人民的苦难生活。
历史,翦商：殷周之变与华夏新生,李硕,1.2万人点评,94.60%,2022年10月,本书借助考古材料和传世文献，梳理了上古人祭风俗产生、繁荣和消亡的全过程，以及人祭与华夏早期文明从伴生到分离的伟大转折，再现了古人（周人）为终结商朝和人祭风俗付出的巨大努力，使我们对华夏文明的起源有了全新的认知。
文学,东周列国志（全3册）,冯梦龙编 黄钧校注,187人点评,94.60%,2020年4月,本书以清蔡元放修订评点本为底本，细致校以明冯梦龙刊本，纠正讹误，注释古代地名、职官、名物、年代、典章制度以及风俗习惯，编有人物的异名、官职以及亲属关系的人名索引对照表。是《东周列国志》最为完善的读本。
历史,中国建筑史,梁思成,68人点评,94.50%,2023年2月,中国建筑是延续了两千余年的工程技术，本身已成一个系统，许多建筑物便是中国文化的具体表现，是中华民族艺术的大宗遗产。      《中国建筑史》是由SHOU位用现代科学方法研究中国古代建筑的学者梁思成先生编写，同时也是SHOU部由中国人自己编写的公正权威的中国建筑史。其按照中国历史发展顺序：上古、两汉、魏晋南北朝、隋唐、五代宋辽金、元明清、清末及民国以后，涉及了中国历史上几乎所有的建筑类型，小到阶基、勾栏、柱础、斗栱、雕饰、门窗，大到陵墓、石窟、寺观、宫殿、住宅、都市。在丰富的历史文献基础上，列举实物、分析特征，清晰地展现了各种建筑形制及其发展变化。      我们今天读中国建筑史，是为了防止犯之前削足适履、张冠李戴式的错误，是为了在未来选择、创造自己的理想生活方式。
文学,白色记事簿（天才捕手计划·口述真实故事文库）,陈拙主编,5490人点评,94.50%,2021年1月,一本白色的记事簿，记录的是催人泪下的生离死别，医患共度的艰难时刻。在医院的日常里，发现不为人知的深情，思考变幻莫测的人性，找到继续生存的勇气。全书从一线医护的视角，记录了患者是如何应对重病与生死难题；在进退维谷的两难之中，医生如何做出对患者更有利的医疗决策；在这个死神随时光顾的生死场中，医生和患者家属每天又面临着怎样的处境。这本书的创作团队是9名奋战在一线的医护工作者，他们以真诚的笔触记录了职业生涯中遇到的15位患者的真实遭遇，呈现了最真实的医院的日常，带读者了解普通人无法接触的生死场。
文学,红楼梦脂评汇校本（BookDNA典藏书系）,曹雪芹著 脂砚斋评,446人点评,94.50%,2014年8月,本书为脂砚斋评石头记的精准解读手札。《红楼梦脂评汇校本》，系以甲戌本、庚辰本等早期脂本为底本，汇集了己卯本、戚序本、蒙府本等其他脂批本的部分脂批，并参考、吸收若干新校点本及脂批辑本的校点成果整理而成。对前人意见有分歧的，略参己意而取舍，力求既不人云亦云，也不标新立异，整理成为一个方便阅读和检索的脂评红楼梦简明读本。本书具有以下特点：一、方便阅读。二、简洁明了。三、态度认真。
文学,我不是潘金莲（2022新版）,刘震云,1356人点评,94.50%,2022年8月,当代著名作家刘震云获茅奖后的第一部长篇，也是他第一部以女性为主角的小说。直逼现实，书写民苦，使这部小说成为《一句顶一万句》的姊妹篇。    和《一句顶一万句》一样，故事都是写一个戴了绿帽子的人想杀人，其实不过是想在人群中找到能说上话的人，不同的是，这本书中是一个戴绿帽子的女人，从杀人到折腾人，不过是想在人群中纠正一句话。    这个顶了潘金莲冤名的妇女经历了一场荒唐的离婚案后，要证明之前的离婚是假的，更要证明自己不是潘金莲，走上告状路。结果从镇里告到县里、市里，甚至申冤到北京的全国人民代表大会，不但没能把假的说成假的，还把法院庭长、院长、县长乃至市长一举拖下马；以至每到“两会”时她所在的省市县都要上演围追堵截的一幕，竟持续二十年。    刘震云用一个看似荒诞的故事讲述真切的生活常理。他的写作立场使他成为当代文坛少有的可以与时代、人民和国家对话的现实主义作家。
历史,明朝那些事儿·全集（2021年 增补版）,当年明月,1360人点评,94.40%,2017年5月,本书主要讲述的是从1344年到1644年这三百年间关于明朝的历史，参考《明实录》《明通鉴》《明史》《明史纪事本末》等二十余种明代史料和笔记杂谈，经明史专家毛佩琦审订推荐，俯瞰三百年明史，看到不一样的大明王朝：大明国祚276年，历经16帝，没有一个皇帝是相似的套路；跟着朱元璋学创业、建文帝的失败启示录、嘉靖帝的权力纵横术、文艺青年明武宗、坚持一夫一妻的明孝宗、木工皇帝明熹宗；忠良义士之多，令人扼腕叹息。冷眼向敌寇，洒泪为英豪。徐达、常遇春、蓝玉，开国战神谱该怎么排，书生于谦打赢了北京保卫战、为什么王阳明会被日本人崇拜、阵法狂魔戚继光、袁崇焕是功臣还是罪人；演绎官场政治、帝王权谋。纵论江山、权术、世道、人心，朱棣背后的男人姚广孝/一代清官海瑞的多面人生/明朝头号政治家徐阶/张居正的改革触动了谁。东林党是怎样一种组织；翰墨春秋、诗画江湖、小说传奇，一个文化、经济、艺术全盛的朝代 ，《永乐大典》是如何编成的、浪荡才子唐伯虎、横空出世的明代四大奇书（《三国志通俗演义》、《水浒传》、《西游记》和《金瓶梅》）、 狂人李贽。明朝，一个让人血性喷薄的朝代，一个光怪陆离的朝代、 一个强悍而温情的朝代，一个历经劫难又恢宏大气的朝代。明朝就像中国历史的褶皱，每翻开一篇都有精彩无比的故事蕴含着属于中国人的文化密码、政治逻辑、人性经验。
文学,林清玄作品集（套装共3册）,林清玄,511人点评,94.40%,2017年5月,该套装：《凡事不如看淡》《在这坚硬的世界里，修得一颗柔软心》《孤独是一个人的清欢》。《凡事不如看淡》讲的是：《凡事不如看淡》台湾知名作家林清玄老师散文精选，书中收录：《月到天心》《生平一瓣香》《柔软心》等62篇不同时期经典代表作品。凡事不如看淡，本书带领读者寻找内心清净之道。在不安的世界里，只有放下执念，抛开焦虑烦恼，才能让内心回归平和，活出人生的最好时节。《在这坚硬的世界里，修得一颗柔软心》讲的是：台湾散文大家林清玄亲自甄选的心灵美文，收录了他的经典作品《人间有味是清欢》《用欢喜心过生活》《生命的化妆》《白雪少年》等，同时也收录了《红心番薯》《咸也好，淡也好》等深受读者喜爱的作品。 看心灵大师林清玄的诗意人生，在面对这个坚硬的世界时，如他一般修得一颗柔软心。《孤独是一个人的清欢》讲的是：每个人的一生都应该读一读林清玄，才会在纷扰的世间看清真实的内心，才真正懂得如何去生活。《孤独是一个人的清欢》是林清玄2018年亲自审定的全新散文集，精选40篇经典佳作，用契合作者人生智慧的方式分为五章：以欢喜心过生活，以平常心生情味，以清净心看世界，以柔软心除挂碍，以从容心品百味。用这五颗心去生活，可以让人放下平日的浮躁与烦忧，收获内心的宁静与平和。孤独是人生的常态，孤独之前是迷茫，孤独之后是成长。而清欢是一种寻找自我的方式，亦是一种至高的人生境界。
文学,骆玉明古诗词课（读客三个圈经典文库）,骆玉明,1026人点评,94.40%,2023年3月,听骆老师讲古诗词，总是鼻子酸酸的、心里暖暖的！ 复旦特受欢迎的教授！超火爆的诗词课！ 《古诗词课》根据骆玉明老师多年来备受欢迎的《古典诗词导读》一课整理而来，在他的讲述中读者和诗词作者之间没有了时空上的距离，站在同一种处境上品味人生，读者在读懂诗词的同时感受自己的生命历程，治愈生活的焦虑。语言或俏皮幽默，或尖锐深刻，丝毫没有“说教感”，只有深切的关怀，让读者产生深深的共鸣。 从《诗经》楚辞讲到唐诗宋词，这21节治愈人心的诗词课，用极具代表性的经典诗词还原古诗词中的人生境遇，深刻展现亘古不变的人性。 翻开本书，在骆老师的带领下轻松走进诗词深处，获得发自内心的感动！ 《咏怀?第七十一》：焦虑不是消极，而是对生命的敏感 生命就是一个充满焦虑的走向死亡的过程。这是阮籍诗歌的一种表达，也是叔本华哲学的一个表达。人有时候会凝视着生命的这种焦虑灰暗和无望，不能把它理解为一个纯粹的消极现象，因为从中我们看到的是一种对生命的敏感。  《春江花月夜》：正因为我到这里，世界才这样美好 江上的月亮在等待谁呢？每一个人都是被这个世界所等待的，世界之所以有意义，是因为你用你的方法去认识了世界，每个人都用自己的方法赋予世界以意义。当我们看到江上的月亮的时候，我们就可以这样去想，我正是那个月亮所等待的人。 《锦瑟》：往事如梦，但往事里的痛苦是真实的 虽然人生如梦，但是人生中的痛苦是确切的，是深刻的，是不可遗忘的。你现在不要追究李商隐了，你追究你自己吧。你的那些往事，它们现在缥缈像一个幻影。可是那些往事里面留下的痛苦和悲哀，它不是刻在梦里面的，它是刻在你心里面的。
哲学,地藏经,实叉难陀,1156人点评,94.30%,2020年11月,《地藏经》全称《地藏菩萨本愿经》，又称《地藏本愿经》、《地藏本行经》、《地藏本誓力经》，共二卷，唐代实叉难陀译。《地藏菩萨本愿经》中国佛教界传诵较广，受到广大信众，尤其是净土信众的重视。大乘佛教经典。本经赞扬了地藏菩萨的宏大誓愿，并通过众菩萨、长者、鬼王、等依次提问，以及地藏菩萨与释迦牟尼佛的对话，介绍了地狱的状况，解释了众生解脱生死、忏悔业障、救拔亲人眷属苦难的种种方法。
历史,半小时漫画中国地理：西藏、青海、云南、贵州,陈磊·半小时漫画团队,5711人点评,94.30%,2023年8月,从长江长城到黄山黄河，半小时尽览祖国大好河山！ 陈磊（混子哥）领衔的半小时漫画团队通过诙谐的语言和手绘漫画的形式，轻轻松松地就把中国三十四个省级行政区的地理知识讲得清清楚楚、明明白白。如果我们把全中国看成一个“班级”，那这事儿就好理解了！ 西藏是美术课代表：穿藏袍、骑牦牛、会画画。 青海是生活管理员：能送水、能拉面、能产矿。 云南是生物课代表：采菌子、养大象、种鲜花。 贵州是进步优等生：建大桥、算数据、产好茶。 翻开本书，从长江长城到黄山黄河，尽览祖国大好河山，越看越爱国！
历史,半小时漫画史记（全5册）,陈磊·半小时漫画团队,2788人点评,94.20%,2023年5月,半小时漫画史记大全集：1~5册。史记本来就是故事会，读起来一点都不累！ 陈磊（笔名：混子哥）领衔的半小时漫画团队通过诙谐的语言和手绘漫画的形式，鲜活生动地演绎了史记中的经典人物和故事。 司马迁写成史记，背后的故事原来这么燃！吴越之争：你若安好，那还得了！秦国：要逆袭，得坚持！如何和汉武帝愉快地做邻居？汉武帝的奇葩亲戚们都有谁？…… 读着读着你会发现，史记本来就是故事会，这样读起来一点都不累！ 翻开本书，在欢声笑语中读完史记！
历史,大医 (全集）破晓篇+日出篇,马伯庸,1635人点评,94.10%,2023年6月,马伯庸全新长篇历史小说，分为《大医·破晓篇》《大医·日出篇》两本，本书为全集。 挽亡图存、强国保种，这是医者在清末变局中的一声呐喊。 大医若史，以济世之仁心，见证大时代的百年波澜。 一个在日俄战争中死里逃生的东北少年、一个在伦敦公使馆里跑腿的广东少年、一个不肯安享富贵的上海少女——这三个出身、性格、际遇各不相同的年轻人，在一九一〇年这一个关键节点，同时踏入了中国红十字会总医院，开始了他们纠葛一生的医海生涯。 《大医·破晓篇》的故事，主要集中在1904至1911年的上海、关东、皖北和英国伦敦；《大医·日出篇》的故事，是从北洋军阀时代一直延展到抗日战争乃至解放战争。通过一群卷入20世纪上半叶动乱时局的医生，通过这些医务工作者的视角和主体性介入，去充满激情地回望近代中国最苦难、最艰辛的“大历史”，书写中国人民波澜壮阔而又震撼人心的抗争史
文学,半小时漫画《三国演义》（全2册）,陈磊?半小时漫画团队,2009人点评,94.00%,2023年3月,三更半夜笑出鹅叫，三国典故打死忘不掉！ 陈磊（笔名：混子哥）通过诙谐的语言和手绘漫画的形式，为我们还原了《三国演义》中的一个个精彩故事：桃园结义、温酒斩华雄、三英战吕布、三顾茅庐、草船借箭、三气周瑜、单刀赴会……让你在哈哈大笑中记住《三国演义》中的经典名场面！ ◆关羽千里走单骑去找大哥刘备，原以为自己过的是服务区，没想到是收费站。 ◆刘备三顾茅庐其实就是反向找工作，诸葛亮一顿操作亲自面试了未来的老板。 ◆诸葛亮草船借箭是一招空手套白狼，用装着稻草人的船骗来曹操的十万支箭。 ◆周瑜为争夺荆州和诸葛亮展开了三次顶级对决，每次都被气得不行，临终前发出“既生瑜，何生亮”的感叹。 ◆孙权带领十万大军在逍遥津对上张辽的几千人，输得连底裤都不剩，从此他被江湖上笑称为“合肥战神孙十万”。 ◆刘备吃着火锅唱着歌，一睁眼就成了益州老大，靠的是傻白甜刘璋部下的投降三连。 …… 几幅漫画，一个段子，就讲清楚一个复杂的三国故事，让你一看就忘不掉，从此爱上《三国演义》。 翻开本书，三更半夜笑出鹅叫，三国典故打死忘不掉！
文学,红楼梦（全二册）,曹雪芹,1350人点评,94.00%,2017年1月,《红楼梦》又名《石头记》，被尊为中国古典四大名著之首。它不仅是中国古典小说第一之作，堪称中国封建社会的百科全书，传统文化的集大成者，也是世界文学海洋中的一颗璀璨明珠。作为一部具有世界影响力的人情小说作品，该书通过家族悲剧、女儿悲剧及主人公的人生悲剧，揭示出封建末世危机。全书以贾、史、王、薛四大家族的兴衰为背景，以贾府的家庭琐事、闺阁闲情为脉络，以贾宝玉、林黛玉、薛宝钗的爱情婚姻故事为主线，着重描写了贾家荣、宁二府由盛到衰的过程。
文学,寻找百忧解：一个精神科医生的观察手记（天才捕手计划·口述真实故事文库）,陈百忧,9190人点评,94.00%,2023年2月,这里是“易碎心灵的港湾”。 记录了1名精神科医生，12位精神病患者，4000天的治疗与陪伴。也如实展现了12位精神病患者人生中最癫狂、暗淡的一面： 持续60年的自杀计划里，隐藏着一个家最深情的秘密： 连医生都害怕的病症，却被精神病室友治好了； 喜欢捉迷藏的女患者嫁给了警察，藏在异国都能被带回家…… 他们聚在这个被层层铁门封死的狭小空间里，看似在接受治疗，实则在修复自己支离破碎的人生。
文学,一个无政府主义者的意外死亡,达里奥·福,3037人点评,94.00%,2016年3月,全球上演50余年经久不衰，观看人数超百万 诺贝尔文学奖得主、意大利剧作家达里奥·福代表作，全球上演40余年经久不衰，现场观看人数超过100多万；孟京辉、赖声川、金士杰都曾亲自执导扮演过中文版舞台剧，场场爆满。与莫里哀比肩的喜剧天才，不输卓别林的即兴表演大师，孟京辉毕生致敬的偶像，为平民与被压迫者创作的游吟诗人。1969年，米兰火车站发生一起爆炸案，一名无政府主义者被指控为凶手，审讯期间，他突然跳楼身亡。达里奥·福迅速对此事做出反应，在做出精细的调查之后，写成此剧。一名身患演员狂症的“疯子”在警察局偶然接触到无政府主义者“偶然死亡”的材料，他随机应变，乔装成最高法院的代表复审此案，终于洞悉内情。所谓“意外死亡”，竟是警察对无政府主义者严刑逼供，将其活活打死后从窗口丢下，造成的畏罪自杀的假象。
